1777954,1795499,1723818,1742536,1766748,1948571
3624047,3888699,3916245,3923380,4020803,4376050
458033,457484,443574,425706,419069,424663
306317,361465,400144,417590,439760,468798
813051,829076,815638,804603,807902,846055
190157,254984,353366,339254,349558,350776
736220,926576,1059608,1117149,1143253,1175728
326637,347829,375833,391511,379869,384363
1132930,1141140,1182700,1213650,1169820,1232510
298343,332873,338265,356593,366577,378169
3423610,3354793,3197837,3567588,3581274,3702371
592983,627086,599865,588165,579710,588920
726668,729965,739025,687404,649856,688881
856172,875097,818499,805977,805049,825187
4700147,4612919,4292086,4261232,4177274,4016904
1500030,1648284,1616350,1618647,1653040,1719467
1964980,1987622,1877607,1896174,1976510,2058989
682717,701164,673657,658460,666104,677313
1589979,1809227,1840162,1845142,1902592,1981054
736211,712173,674209,608604,550198,579037
563089,610630,571788,586324,587873,597267
1206953,1469502,1522695,1457741,1458135,1619758
656787,704905,683404,700921,710265,732555
811970,856914,810198,820268,835390,867731
1239527,1297847,1221114,1206383,1180806,1123373
445307,439463,409703,403050,384938,363376
1309944,1342665,1217614,1166532,1220330,1283699
298043,371397,441613,469866,408714,411113
135540,208396,284053,319007,339054,400555
2165137,2939195,3358565,3295052,3149410,3437871
543912,784994,897951,874712,834261,834872
189021,229368,308339,354163,336753,373509
2329474,3410444,3879365,3894686,3868072,4246448
282399,351256,469864,533608,525208,558256
243575,237744,287743,337384,368102,431663
159084,234098,303154,308548,331765,395867
193862,287038,365034,360579,355298,379000
194661,236636,308591,328063,326764,363813
467496,586652,711787,789055,791530,823119
621129,840880,1006907,1055941,1043751,1140616
324962,477854,586359,619267,612931,672381
565780,708384,783549,855448,986018,1079545
476938,549349,574384,608973,647313,696151
232244,330350,369214,381243,395069,402811
880325,1076873,1181913,1234501,1305361,1403558
807950,969947,974666,907822,920962,976447
368331,422669,417940,413318,421833,422419
345154,419890,462098,496416,545030,573912
460825,625249,726059,803627,835945,878735
7514899,8436404,8880193,9463377,9744904,10416084
311812,369546,372741,371838,379719,378830
233970,300856,341355,356920,365961,375680
337132,443155,489083,572788,653850,737323
1178034,1289767,1322386,1339090,1363136,1388302
297469,349611,375779,396180,421662,435740
1855126,2566368,3087947,3199698,3356545,3352865
375169,550266,695892,735478,778616,772876
474874,625677,720639,776443,779113,789750
1973844,2200340,2287587,2212309,2058316,2057701
679292,812014,939017,955667,1020608,1121312
364063,421514,460474,448270,428177,427538
382519,461525,509367,525755,470979,517801
483394,563474,553049,505366,476516,482270
261787,318608,338222,335665,338281,355444
471931,505437,555527,590447,602905,617590
460639,521769,571296,578880,596206,602936
560979,655397,685954,764921,755219,780016
787551,823404,779883,699001,643967,618048
3314409,4170259,4391719,4278400,4241520,4398338
1860830,2098062,2291332,2313771,2420574,2435953
271429,325297,348577,343715,348119,367475
638886,695724,764238,780844,790407,773405
1849005,2361978,2465560,2426020,2599521,2686600
1190173,1502113,1521841,1400017,1305676,1311881
225895,333820,420798,499949,552467,536075
607077,739023,843935,883014,756495,660092
810698,791850,698687,681846,693316,729961
1048367,1067097,975352,963031,1020905,1071049
232562,286587,310314,317646,338398,356198
335813,367189,346917,334925,345776,355336
985407,1053681,1010164,1035887,1085533,1109253
311508,361352,374059,404144,428199,484631
225310,274935,342196,372578,368551,364037
508172,642131,755939,796477,786383,794554
1744590,1878289,2032253,2110314,1999472,1903454
502890,612227,704388,746429,745474,757304
798358,862784,932593,935078,878093,828971
445071,517372,597266,641928,646153,647305
271764,340705,390451,409308,402532,409933
1402099,1629084,1888385,1995362,2043518,2138493
438975,533974,606043,636316,623552,629954
1147866,1358806,1762487,1742622,1784259,1851170
777871,865087,1018953,1071937,1151518,1172363
1201925,1601373,1945242,2102759,2012510,2025662
471120,534884,506233,515490,556251,609808
1048667,1145396,1130259,1201786,1332380,1505350
247617,294315,370441,419285,406614,386562
486839,594363,536010,538295,552446,568074
366112,387324,378439,360701,346146,358522
248626,311729,317545,342027,376124,412329
408660,435645,423170,417625,461741,502257
554627,564885,535831,522572,565014,631956
314830,315546,302486,299971,330040,372985
337034,363921,346589,320115,337678,357685
471799,475729,420934,398122,441995,484001
1709441,1659356,1433347,1270797,1274382,1307883
8902770,8480479,7699656,7316697,8306653,9423910
4074741,4037972,3768337,3500579,3549544,3792245
382842,422164,421121,413825,445340,505390
546066,592265,573480,565838,599489,650273
348048,419439,419582,414814,437088,466972
149784,293450,330637,357456,407379,430198
794022,792867,765726,718916,723331,793477
362050,396405,400819,386059,382006,397008
248452,315951,336830,345678,363715,394881
362398,365346,359979,349325,350378,360506
1209659,1201139,1128045,1065206,1071651,1102212
2398218,2454670,2356243,2235353,2293151,2458246
1592733,1653717,1596169,1539170,1592280,1767737
